Argument ID	Self-direction: thought	Self-direction: action	Stimulation	Hedonism	Achievement	Power: dominance	Power: resources	Face	Security: personal	Security: societal	Tradition	Conformity: rules	Conformity: interpersonal	Humility	Benevolence: caring	Benevolence: dependability	Universalism: concern	Universalism: nature	Universalism: tolerance	Universalism: objectivity
C26029	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0
C26030	1	1	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	1
C26031	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1
C26032	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1
C26033	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26034	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
C26035	0	1	1	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0
C26036	0	0	0	0	1	1	1	0	0	1	0	1	0	0	0	0	0	0	0	0
C26037	1	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0
C26038	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
C26039	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	1
C26040	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
C26041	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
C26042	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0
C26043	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0
C26044	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
C26045	0	1	0	0	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
C26046	1	0	0	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	1
C26047	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
C26048	1	1	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0
C26049	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
C26050	0	1	0	0	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	0
C26051	0	0	1	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0
C26052	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0
C26053	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0
C26054	0	0	0	0	1	0	0	1	0	0	0	1	0	1	1	0	1	0	0	0
C26055	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0
C26056	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
C26057	0	1	0	0	1	0	0	0	0	0	0	1	0	0	1	1	1	0	0	0
C26058	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0
C26059	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0
C26060	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
C26061	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0
C26062	0	0	0	0	0	0	0	0	0	1	1	0	1	0	1	0	1	0	0	0
C26063	0	1	1	1	1	0	0	0	1	0	0	1	0	0	0	0	1	0	0	0
C26064	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
C26065	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C26066	0	0	0	0	1	0	0	0	1	0	1	1	0	0	1	0	1	0	0	0
C26067	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0
C26068	0	1	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	1
C26069	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0
C26070	0	1	1	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0
C26071	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
C26072	0	0	0	0	1	0	0	1	1	1	0	1	0	0	0	1	1	0	0	1
C26073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1
C26074	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
C26075	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
C26076	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	1	0
C26077	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
C26078	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0
C26079	1	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	0	0
C26080	1	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0
C26081	0	0	0	0	0	0	1	0	1	0	0	1	0	1	1	1	0	1	0	0
C26082	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
C26083	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
C26084	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	0
C26085	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	1	1
C26086	0	0	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	0	0	0
C26087	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0
C26088	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	0	0
C26089	1	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0
C26090	1	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0
C26091	0	1	0	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0
C26092	0	1	0	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0
C26093	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0
C26094	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
C26095	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
C26096	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0
C26097	0	0	0	0	0	0	1	0	0	1	1	0	0	0	0	1	1	0	0	1
C26098	0	0	0	0	1	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1
C26099	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
C26100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0
